octave	page_printed	position_col	position	sigil	name	typography	symbol	atomic_mass	melting_point_c	status	loc	usp	chart	variants
7	96	2−	702	−	Selenium	roman	Se	79.2	217	agreed	2− | Selenium | roman | 702− | Se | 79.2 | 217	2− | Selenium | roman | 702− | Se | 79.2 | 217	SELENIUM	
7	96	1−	701	−	Bromine	roman	Br	79.92	−7.3	agreed	1− | Bromine | roman | 701− | Br | 79.92 | −7.3	1− | Bromine | roman | 701− | Br | 79.92 | −7.3	BROMINE	
8	96	0=	800	=	Krypton	italic	Kr.	82.92	—169	agreed	0= | Krypton | italic | 800= | Kr. | 82.92 | —169	0= | Krypton | italic | 800= | Kr. | 82.92 | —169	KRYPTON	
8	96	1+	801	+	Rubidium	roman	Rb.	85.45	38	agreed	1+ | Rubidium | roman | 801+ | Rb. | 85.45 | 38	1+ | Rubidium | roman | 801+ | Rb. | 85.45 | 38	RUBIDIUM	
8	96	2+	802	+	Strontium	roman	Sr.	87.65	830	agreed	2+ | Strontium | roman | 802+ | Sr. | 87.65 | 830	2+ | Strontium | roman | 802+ | Sr. | 87.65 | 830	STRONTIUM	
8	96	3+	803	+	Yttrium	roman	Yt.	89.33	1490	agreed	3+ | Yttrium | roman | 803+ | Yt. | 89.33 | 1490	3+ | Yttrium | roman | 803+ | Yt. | 89.33 | 1490	YTTRIUM	
8	96	3A+	803A	+	Zirconium	roman	Zr.	90.6	1700	agreed	3A+ | Zirconium | roman | 803A+ | Zr. | 90.6 | 1700	3A+ | Zirconium | roman | 803A+ | Zr. | 90.6 | 1700	ZIRCONIUM	
8	96	3B+	803B	+	Niobium	roman	Nb	94.0		resolved	3B+ | Niobium | roman | 803B+ | Nb | 94.0 | 	3B + | Niobium | roman | 803B + | Nb | 94.0 | 	NIOBIUM	
8	96	3C+	803C	+	Molybdenum	roman	Mo	96.0	2550	resolved	3C+ | Molybdenum | roman | 803C+ | Mo | 96.0 | 2550	3C + | Molybdenum | roman | 803C + | Mo | 96.0 | 2550	MOLYBDENUM	
8	96	3D+	803D	+	Mate to 3D−	roman				resolved	3D+ | Mate to 3D− | roman | 803D+ |  |  | 	3D + | Mate to 3D− | roman | 803D + |  |  | 	UNKNOWN	
8	96	3E+	803E	+	Ruthenium	roman	Ru	101.7	2450	resolved	3E+ | Ruthenium | roman | 803E+ | Ru | 101.7 | 2450	3E + | Ruthenium | roman | 803E + | Ru | 101.7 | 2450	RUTHENIUM	
8	96	4‡	804	‡	RHODIUM	smallcaps	Rh	103.0	1950	agreed	4‡ | RHODIUM | smallcaps | 804‡ | Rh | 103.0 | 1950	4‡ | RHODIUM | smallcaps | 804‡ | Rh | 103.0 | 1950	RHODIUM	
8	96	3E−	803E	−	Palladium	roman	Pd	106.5	1549	resolved	3E− | Palladium | roman | 803E− | Pd | 106.5 | 1549	3E − | Palladium | roman | 803E − | Pd | 106.5 | 1549	PALLADIUM	
8	96	3D−	803D	−	Silver	roman	Ag	107.88	961	agreed	3D− | Silver | roman | 803D− | Ag | 107.88 | 961	3D− | Silver | roman | 803D− | Ag | 107.88 | 961	SILVER	
8	96	3C−	803C	−	Cadmium	roman	Cd	112.40	321	agreed	3C− | Cadmium | roman | 803C− | Cd | 112.40 | 321	3C− | Cadmium | roman | 803C− | Cd | 112.40 | 321	CADMIUM	
8	96	3B−	803B	−	Indium	roman	In	114.8	155	resolved	3B− | Indium | roman | 803B− | In | 114.8 | 155	3B − | Indium | roman | 803B − | In | 114.8 | 155	INDIUM	
8	96	3A−	803A	−	Tin	roman	Sn	118.7	232	resolved	3A− | Tin | roman | 803A− | Sn | 118.7 | 232	3A− | Tin | roman | 803A − | Sn | 118.7 | 232	TIN	
8	96	3−	803	−	Antimony	roman	Sb	120.2	630	agreed	3− | Antimony | roman | 803− | Sb | 120.2 | 630	3− | Antimony | roman | 803− | Sb | 120.2 | 630	ANTIMONY	
8	96	2−	802	−	Tellurium	roman	Te	*127.5	446	agreed	2− | Tellurium | roman | 802− | Te | *127.5 | 446	2− | Tellurium | roman | 802− | Te | *127.5 | 446	TELLURIUM	
8	96	1−	801	−	Iodine	roman	I	*126.92	114	agreed	1− | Iodine | roman | 801− | I | *126.92 | 114	1− | Iodine | roman | 801− | I | *126.92 | 114	IODINE	
9	98	0=	900	=	Xenon	italic	Xe	130.2	—140	agreed	0= | Xenon | italic | 900= | Xe | 130.2 | —140	0= | Xenon | italic | 900= | Xe | 130.2 | —140	XENON	
9	98	1+	901	+	Caesium	roman	Cs	132.81	26	agreed	1+ | Caesium | roman | 901+ | Cs | 132.81 | 26	1+ | Caesium | roman | 901+ | Cs | 132.81 | 26	CAESIUM	
9	98	2+	902	+	Barium	roman	Ba	137.37	850	agreed	2+ | Barium | roman | 902+ | Ba | 137.37 | 850	2+ | Barium | roman | 902+ | Ba | 137.37 | 850	BARIUM	
9	98	3+	903	+	Lanthanum	roman	La	139	810	agreed	3+ | Lanthanum | roman | 903+ | La | 139 | 810	3+ | Lanthanum | roman | 903+ | La | 139 | 810	LANTHANUM	
9	98	3A+	903A	+	Cerium	roman	Ce	140.25	640	resolved	3A+ | Cerium | roman | 903A+ | Ce | 140.25 | 640	3A + | Cerium | roman | 903A + | Ce | 140.25 | 640	CERIUM	
9	98	3B+	903B	+	Praseodymium	roman	Pr	140.9	940	resolved	3B+ | Praseodymium | roman | 903B+ | Pr | 140.9 | 940	3B + | Praseodymium | roman | 903B + | Pr | 140.9 | 940	PRASEODYMIUM	
9	98	3C+	903C	+	Neodymium	roman	Nd	144.3	840	resolved	3C+ | Neodymium | roman | 903C+ | Nd | 144.3 | 840	3C + | Neodymium | roman | 903C + | Nd | 144.3 | 840	NEODYMIUM	
9	98	3D+	903D	+	Mate to 3D−	roman				resolved	3D+ | Mate to 3D− | roman | 903D+ |  |  | 	3D + | Mate to 3D− | roman | 903D + |  |  | 	UNKNOWN	
9	98	3E+	903E	+	Samarium	roman	Sa	150.4	1350	resolved	3E+ | Samarium | roman | 903E+ | Sa | 150.4 | 1350	3E + | Samarium | roman | 903E + | [uncertain:Sa|Sa.] | 150.4 | 1350	SAMARIUM	
9	98	3F+	903F	+	Europium	roman	Eu	152.0		resolved	3F+ | Europium | roman | 903F+ | Eu | 152.0 | 	3F + | Europium | roman | 903F + | Eu | 152.0 | 	EUROPIUM	
9	98	3G+	903G	+	Gadolinium	roman	Gd	157.3		resolved	3G+ | Gadolinium | roman | 903G+ | Gd | 157.3 | 	3G + | Gadolinium | roman | 903G + | Gd | 157.3 | 	GADOLINIUM	
9	98	3H+	903H	+	Terbium	roman	Tb	159.2		resolved	3H+ | Terbium | roman | 903H+ | Tb | 159.2 | 	3H+ | Terbium | roman | 903H + | Tb | 159.2 | 	TERBIUM	
9	98	3I+	903I	+	Disbrossium	roman	Dy	162.5		resolved	3I+ | Disbrossium | roman | 903 I + | Dy | 162.5 | 	3I + | Disbrossium | roman | 903 I + | Dy | 162.5 | 	DISBROSSIUM	
9	98	3J+	903J	+	Holmium	roman	Ho	163.5		resolved	3J+ | Holmium | roman | 903 J + | Ho | 163.5 | 	3J + | Holmium | roman | 903 J + | Ho | 163.5 | 	HOLMIUM	
9	98	3K+	903K	+	Erbium	roman	Er	167.7		resolved	3K+ | Erbium | roman | 903K+ | Er | 167.7 | 	3K + | Erbium | roman | 903K + | Er | 167.7 | 	ERBIUM	
9	98	3L+	903L	+	Thulium	roman	Tm	168.5		resolved	3L+ | Thulium | roman | 903L+ | Tm | 168.5 | 	3L + | Thulium | roman | 903L + | Tm | 168.5 | 	THULIUM	
9	98	3M+	903M	+	Ytterbium	roman	Yb	173.5		agreed	3M+ | Ytterbium | roman | 903M+ | Yb | 173.5 | 	3M+ | Ytterbium | roman | 903M+ | Yb | 173.5 | 	YTTERBIUM	
9	98	4‡	904	‡	LUTECIUM	smallcaps	Lu	175.0		agreed	4‡ | LUTECIUM | smallcaps | 904‡ | Lu | 175.0 | 	4‡ | LUTECIUM | smallcaps | 904‡ | Lu | 175.0 | 	LUTECIUM	
9	98	3M−	903M	−	Mate to 3M+	roman				agreed	3M− | Mate to 3M+ | roman | 903M− |  |  | 	3M− | Mate to 3M+ | roman | 903M− |  |  | 	UNKNOWN	
9	98	3L−	903L	−	Mate to 3L+	roman	Ta	181.5	2900	resolved	3L− | Mate to 3L+ | roman | 903L− | Ta | 181.5 | 2900	3L − | Mate to 3L+ | roman | 903L − | Ta | 181.5 | 2900		
9	98	3K−	903K	−	Tantalum	roman	W	184.0	3400	resolved	3K− | Tantalum | roman | 903K− | W | 184.0 | 3400	3K − | Tantalum | roman | 903K − | W | 184.0 | 3400	TANTALUM	
9	98	3J−	903J	−	Tungsten	roman				resolved	3J− | Tungsten | roman | 903 J − |  |  | 	3J − | Tungsten | roman | 903J − |  |  | 	TUNGSTEN	
9	98	3I−	903I	−	Mate to 3I+	roman	Os	190.9	2700	resolved	3I− | Mate to 3I+ | roman | 903 I − | Os | 190.9 | 2700	3I − | Mate to 3I+ | roman | 903 I − | Os | 190.9 | 2700	UNKNOWN	
9	98	3H−	903H	−	Osmium	roman	Ir	193.1	2250	resolved	3H− | Osmium | roman | 903H− | Ir | 193.1 | 2250	3H − | Osmium | roman | 903H − | Ir | 193.1 | 2250	OSMIUM	
9	98	3G−	903G	−	Iridium	roman	Pt	195.2	1755	resolved	3G− | Iridium | roman | 903G− | Pt | 195.2 | 1755	3G − | Iridium | roman | 903G − | Pt | 195.2 | 1755	IRIDIUM	
9	98	3F−	903F	−	Platinum	roman	Au	197.2	1063	resolved	3F− | Platinum | roman | 903F− | Au | 197.2 | 1063	3F − | Platinum | roman | 903F − | Au | 197.2 | 1063	PLATINUM	
9	98	3E−	903E	−	Mate to 3E+	roman	Hg	200.6	—39	resolved	3E− | Mate to 3E+ | roman | 903E− | Hg | 200.6 | —39	3E − | Mate to 3E+ | roman | 903E − | Hg | 200.6 | —39		
9	98	3D−	903D	−	Gold	roman	Tl	204.0	302	resolved	3D− | Gold | roman | 903D− | Tl | 204.0 | 302	3D − | Gold | roman | 903D − | Tl | 204.0 | 302	GOLD	
9	98	3C−	903C	−	Mercury	roman	Pb	207.2	327	resolved	3C− | Mercury | roman | 903C− | Pb | 207.2 | 327	3C − | Mercury | roman | 903C − | Pb | 207.2 | 327	MERCURY	
9	98	3B−	903B	−	Thallium	roman				resolved	3B− | Thallium | roman | 903B− |  |  | 	3B − | Thallium | roman | 903B − |  |  | 	THALLIUM	
9	98	3A−	903A	−	Lead	roman				resolved	3A− | Lead | roman | 903A− |  |  | 	3A − | Lead | roman | 903A − |  |  | 	LEAD	
9	98	3−	903	−	Bismuth	roman	Bi	208.0	271	agreed	3− | Bismuth | roman | 903− | Bi | 208.0 | 271	3− | Bismuth | roman | 903− | Bi | 208.0 | 271	BISMUTH	
9	98	2−	902	−	Polonium	roman	Po			agreed	2− | Polonium | roman | 902− | Po |  | 	2− | Polonium | roman | 902− | Po |  | 	POLONIUM	
9	98	1−	901	−	Mate to 1+	roman				agreed	1− | Mate to 1+ | roman | 901− |  |  | 	1− | Mate to 1+ | roman | 901− |  |  | 	UNKNOWN	
10	100	0=	1000	=	Niton	italic	Nt	222.4		agreed	0= | Niton | italic | 1000= | Nt | 222.4 | 	0= | Niton | italic | 1000= | Nt | 222.4 | 	NITON	
10	100	1+	1001	+	Mate to 1−	roman				agreed	1+ | Mate to 1− | roman | 1001+ |  |  | 	1+ | Mate to 1− | roman | 1001+ |  |  | 	UNKNOWN	
10	100	2+	1002	+	Radium	roman	Ra	226.0	700	agreed	2+ | Radium | roman | 1002+ | Ra | 226.0 | 700	2+ | Radium | roman | 1002+ | Ra | 226.0 | 700	RADIUM	
10	100	3+	1003	+	Actinium	roman	Ac			agreed	3+ | Actinium | roman | 1003+ | Ac |  | 	3+ | Actinium | roman | 1003+ | Ac |  | 	ACTINIUM	
10	100	3A+	1003A	+	Thorium	roman	Th	232.15	1700	agreed	3A+ | Thorium | roman | 1003A+ | Th | 232.15 | 1700	3A+ | Thorium | roman | 1003A+ | Th | 232.15 | 1700	THORIUM	
10	100	3B+	1003B	+	Uranium XII	roman	UrXII			resolved	3B+ | Uranium XII | roman | 1003B+ | UrXII |  | 	3B + | Uranium XII | roman | 1003B + | UrXII |  | 	URANIUM XII	
10	100	3C+	1003C	+	Uranium	roman	Ur	238.2	1850	resolved	3C+ | Uranium | roman | 1003C+ | Ur | 238.2 | 1850	3C+ | Uranium | roman | 1003C + | Ur | 238.2 | 1850	URANIUM	
10	100	3D+	1003D	+	Uridium	roman	Um			agreed	3D+ | Uridium | roman | 1003D+ | Um |  | 	3D+ | Uridium | roman | 1003D+ | Um |  | 	URIDIUM	
10	100	3E+	1003E	+	Urium	roman	Uu			resolved	3E+ | Urium | roman | 1003E+ | Uu |  | 	3E + | Urium | roman | 1003E + | Uu |  | 	URIUM	
10	100	4‡	104	‡	TOMIUM	caps	Tn			agreed	4‡ | TOMIUM | caps | 104‡ | Tn |  | 	4‡ | TOMIUM | caps | 104‡ | Tn |  | 	TOMION	
10	100	3E−	103E	−	Whitnion	roman	Wn			resolved	3E− | Whitnion | roman | 103E− | Wn |  | 	3E − | Whitnion | roman | 103E − | Wn |  | 	WHITNION	
10	100	3D−	103D	−	Alphonson	roman	Ap			agreed	3D− | Alphonson | roman | 103D− | Ap |  | 	3D− | Alphonson | roman | 103D− | Ap |  | 	ALPHONSON	
10	100	3C−	103C	−	Georgeon	roman	Gg			agreed	3C− | Georgeon | roman | 103C− | Gg |  | 	3C− | Georgeon | roman | 103C− | Gg |  | 	GEORGEON	
10	100	3B−	103B	−	Victoron	roman	V			resolved	3B− | Victoron | roman | 103B− | V |  | 	3B − | Victoron | roman | 103B − | V |  | 	VICTORON	
10	100	3A−	103A	−	Lipton	roman	Ln			agreed	3A− | Lipton | roman | 103A− | Ln |  | 	3A− | Lipton | roman | 103A− | Ln |  | 	LIPTON	
10	100	+3−	+103	−	Alberton	roman	At			agreed	+3− | Alberton | roman | +103− | At |  | 	+3− | Alberton | roman | +103− | At |  | 	ALBERTON	
10	100	+2−	+102	−	Blackton	roman	Bn			agreed	+2− | Blackton | roman | +102− | Bn |  | 	+2− | Blackton | roman | +102− | Bn |  | 	BLACTON	
10	100	+1−	+101	−	Boston	roman	Bt			agreed	+1− | Boston | roman | +101− | Bt |  | 	+1− | Boston | roman | +101− | Bt |  | 	BOSTON	
10	100	0=	100	=	Omeganon	roman				agreed	0= | Omeganon | roman | 100= |  |  | 	0= | Omeganon | roman | 100= |  |  | 	OMEGANON	
